"_id","effectiveAddress","foundCount","latestTransactionHash","latestBlockNumber","hasSentNFT"
"620d1e497cce5cea0af6ea45","0xBa44d1036c3C4b98A546C2093474D9dfeb819B17",3,"0x79964ba7e00c2f41b99755c8fcf77ae10f4ff2300d453584ab3cb57ffea1122e",24999999,false
"620d1e497cce5cea0af6ea46","0xB5c3129a52DC469171dA99062528276Fd4a4da47",3,"0x23d28c1eaa40e61e66f9298099a0b833d8218c21bd764573e05f9bb6cf77262e",24999999,false
"620d1e497cce5cea0af6ea47","0xf2C146123a305F49ca787026D9499CBC59F6d116",7,"0xc8b36627bc650af0098a797f090884cf51cbaecec603bad20f5dffc8f1cd0f31",24999999,false
"620d1e497cce5cea0af6ea48","0x1F8600BEb4eD6F7133aa5Ba57e24CD2496968014",4,"0xed4fa90dee2b893a3fdcaa264c2c85038e91bd3a67999971f91a1b8e104c0d11",24999998,false
"620d1e497cce5cea0af6ea49","0xE6dE64b6073230135938c63f9e22fAc3580F4b38",17,"0xf7aa7707a79d605148b329cf73eef0515ead427f9bd9be7291f6c78300f1b2ac",24999998,false
"620d1e4a7cce5cea0af6ea4a","0xA0a9a583D30EdF9d59eD8552556675eB6881393D",10,"0xcfb4cf97195becb4f02a9296ac28ead8daff6cdca9fcbb5f856e8960a656324c",24999998,false
"620d1e4a7cce5cea0af6ea4b","0x6b52595B5CF6061Bc9a346c77831e223c8Db8ab7",4,"0x566e2b61e3393a0ef81b0948923901e3c5f9f5840810a7cfe0633031e52e2952",24999998,false
"620d1e4a7cce5cea0af6ea4c","0xB1D8D96EBC22949b8DeB22c31Ab3f6A49c8C8d69",1,"0x080748f0efcb660912b836e8f2ce65c0aba6fb956047892db8fa92849701d16c",24999998,false
"620d1e4a7cce5cea0af6ea4d","0x994369a4D7DbE4e741a1765a14479C9f7CaDC3A4",1,"0xf6ec47f5a152cfd3fefc17dfa77ee8223172954399c2518567caf6cec53b81bf",24999998,false
"620d1e4a7cce5cea0af6ea4e","0x9bD1C0AEC5Cc19bBd916525eDC28C5eE62BBd831",9,"0x54dce8f3a4b919899f8971c50c0fef0cae6bf6ab246be788bf95e7bca00c6150",24999998,false
"620d1e4b7cce5cea0af6ea4f","0x718C513D325B44fFb9AF8C0eB22e6a2170558945",1,"0x81c71d6b949f2fd637a95d650f959d91e910a4f8ae48179516a7dd9b6d3409dd",24999998,false
"620d1e4b7cce5cea0af6ea50","0x01c5Fe3f01326AAF1f6B1bb374F0166860F83c60",1,"0x1561c522a4d5459a5c766acfab630b170e4e1cceacc1daed901a082cf399ba91",24999998,false
"620d1e4b7cce5cea0af6ea51","0x1758686eCd1c5A139B977b9bfE24E56020D32473",5,"0x2eb3b90d1ca01269083f8a460ccdfbb405d9946792d42dddbf3c46f3a944bc19",24999998,false
"620d1e4b7cce5cea0af6ea52","0x5c6DFB65F826bDdEAe56d733241BcCF1AafA4AB6",7,"0xd981bc5b05fd10e5c6a578b4ac366fe5dc7ca4c7951d689cf9b9e3fb1ac02431",24999998,false
"620d1e4b7cce5cea0af6ea53","0x993De4421eF989842f5f8c141854053e2BE47E78",13,"0x29412bb0b70a6bc7e40a1b05be3640959cf3b112509c6e141f3dbb151ea4f89f",24999997,false
"620d1e4c7cce5cea0af6ea54","0x497E9Ef9fff5A0857E2c29FeA51554d57cD0a7ab",1,"0x9a800d0a2cf58b721a1f6d44cc0aa5c8b3d7201995cdfd5e9880a7dda3a5298b",24999997,false
"620d1e4c7cce5cea0af6ea55","0x63daEDfe770fcD7fA863aa4af2abE372ea727669",1,"0x8f587df8e29ca126e96ff4aa7f423d557ab7769cba7572491ad02fc9b2aa3d35",24999997,false
"620d1e4c7cce5cea0af6ea56","0xaf44FD605282dB4171c790Dd19CAA40665f36697",1,"0x5fff3eb6b2b26a17a590d99856284db6d643e7580cf4c886844b35efe4bdb60f",24999997,false
"620d1e4c7cce5cea0af6ea57","0x4f06F72cd3A88Ec0c27890a082388AFFfB362dCf",1,"0xb56e09ab298daa22d7ce1f991d1eb2694c50b21a1cfff2f615aa29f4e233942f",24999997,false
"620d1e4c7cce5cea0af6ea58","0xbb226F372cbd894d47967EA792Aa0fc521D7C159",1,"0xba359cd65d6ff55ec02cb3977e3a44a873a5fbdca10c365fa9d07c1df92d67b6",24999997,false
"620d1e4d7cce5cea0af6ea59","0x7C4a24c5b1c0eBa323aC796b841708ca4f79Feb1",2,"0xb23cfd85e5a967ddb6d168a381dbb438f12a933527b9dfc71c6318c36eb9d8c9",24999997,false
"620d1e4d7cce5cea0af6ea5a","0x2D0C6C1A10A02f94097C2baec4F6f376F747A240",2,"0x88c09cd86f61b80cca8fe1852e758296f8c504514a183ff4da0864825e280a2f",24999997,false
"620d1e4d7cce5cea0af6ea5b","0xc95c81FB9dA95b7750e9E1B04B5e7A14AFb2D103",6,"0xa671d32abc613c1bd1818b69c287dd1ffa28ad1ad3b6694260fb0016ab754eec",24999997,false
"620d1e4d7cce5cea0af6ea5c","0xb3AB2a4C77FbeEEf3646CB133F674964B2009c0F",4,"0x6300a8f7ddd2989b70f982a1e6d45bbc4425ce50fc4de7ffe196e4772bcd967b",24999996,false
"620d1e4d7cce5cea0af6ea5d","0x4Bfec046e47c33118D162209FfcCB08e8c7AD61d",12,"0x0f21caff9df880cdfc4544cb8294c09d9d816bb3dde32f899f5020ccfe884dc2",24999996,false
"620d1e4d7cce5cea0af6ea5e","0x930fDDe10c8cDA758232873A8428EF380810843A",3,"0x18d46c0f6df7f7ad50f17a8d90724ddedc7833dd2a17092a458bf064222c20f4",24999996,false
"620d1e4e7cce5cea0af6ea5f","0xc1414e6D3E393D16083D2F8D0F892A2fF417f2AC",3,"0xd7ba9b07c5ae36f0b54d1ee2c101dcfe495de8ace287a323a49074cbf76b3b7a",24999996,false
